index,id,mandate_m,usage,pred,score0,score1
1223,@1451404748565925905,0,train,0,3.0638387,-3.2433956
2640,@1435258780703289346,1,train,1,-2.750509,3.0054212
2648,@1423037615750750214,1,train,1,-2.8544421,3.0557442
2490,@1451624713508331522,0,train,0,3.0638754,-3.2924857
2636,@1470253782915338241,0,train,0,3.08377,-3.283972
755,@1442227085645287424,1,train,1,-2.7186778,2.9755654
2254,@1457502184036130822,0,train,0,3.091414,-3.2931914
2226,@1449666433810579458,0,train,0,3.054739,-3.2294154
1163,@1497295042494570507,0,train,0,2.7702203,-2.9062893
1794,@1471240449994248192,1,train,1,-2.8014534,3.0603878
257,@1432872550271528962,1,train,1,-2.7785428,2.9890912
2403,@1488151214625894403,1,train,1,-2.8330467,3.0838609
1527,@1479347413798502402,0,train,0,2.9889224,-3.1330965
362,@1430835041878347783,1,train,1,-2.6123884,2.9123847
2891,@1418413058146246660,0,train,0,3.0876377,-3.2917054
2275,@1441464198261772288,0,train,0,3.0627768,-3.2262576
1266,@1421804716170878976,0,train,0,3.049802,-3.2600098
1866,@1450837461492510722,0,train,0,3.0592697,-3.2329223
1666,@1479921089006481412,0,train,0,3.0687973,-3.2514837
3376,@1420588012547854336,1,train,1,-2.6201036,2.8453186
2258,@1470405640749293571,0,train,0,3.0627801,-3.2252774
390,@1481085220984168449,0,train,0,3.08449,-3.2553844
2063,@1421560585846673409,0,train,0,2.9772618,-3.0923007
491,@1449412635599020037,1,train,1,-2.7992802,3.0518491
2647,@1458950133874237441,0,train,0,3.0616653,-3.2447813
2864,@1445573627949182978,1,train,1,-2.7575958,3.033283
3095,@1437691483566616577,0,train,0,2.8103619,-2.8906906
1737,@1416844051840741383,1,train,1,-2.7622201,2.9963782
2251,@1476628218283102240,0,train,0,3.0716326,-3.236115
678,@1436149571424595976,0,train,0,2.9946792,-3.19859
1788,@1448350097125912582,0,train,0,3.075202,-3.255994
954,@1487513900778065926,1,train,1,-2.8026237,3.0582993
1514,@1433201808655228930,1,train,1,-2.8307831,3.0806282
2982,@1476573537754357760,0,train,0,3.0825753,-3.3034523
2924,@1477134517223657472,0,train,0,3.0759041,-3.247359
914,@1412381973893369858,0,train,0,2.86653,-3.0437982
981,@1433309196531879939,0,train,0,2.996707,-3.161339
2284,@1441460681476227073,0,train,0,3.0383365,-3.1916983
1859,@1498250233461026819,0,train,0,3.074549,-3.2493541
1133,@1445906640423645187,0,train,0,3.0814207,-3.2916396
1684,@1486284783361605632,1,train,1,-2.8302205,3.0766873
2862,@1417453956884799509,1,train,1,-2.7382019,3.010759
342,@1420813408597811202,0,train,0,3.08162,-3.2275813
1627,@1445761356876038167,1,train,1,-2.714002,2.9721677
185,@1420813458166145024,0,train,0,3.0686588,-3.2444177
2375,@1433302088382046209,1,train,1,-2.8358521,3.0648339
1419,@1427055529491271683,0,train,0,3.0753157,-3.2467892
2141,@1463241048470261770,0,train,0,3.03888,-3.254129
2182,@1485603852913025029,0,train,0,3.0595124,-3.2451925
2381,@1480318307689328640,0,train,0,3.081194,-3.2708871
107,@1476973684057419786,0,train,0,3.039018,-3.1964166
1854,@1429657888692133889,0,train,0,3.0515897,-3.256085
3244,@1420820447785070599,0,train,0,3.075816,-3.225919
1310,@1472701489739087873,1,train,1,-2.8022723,3.0455759
916,@1458684848218906629,0,train,0,3.0796788,-3.260941
1947,@1465000932987392005,1,train,1,-2.835894,3.0775385
2957,@1471056648991031300,0,train,0,3.05562,-3.2309086
1349,@1428840590691774477,0,train,0,2.911372,-3.078223
2819,@1455893354093416450,0,train,0,3.0626886,-3.2676241
997,@1494328453595688962,0,train,0,3.0605505,-3.222877
3370,@1413499687093604355,0,train,0,3.0923412,-3.281129
3051,@1471319824483721220,0,train,0,3.0348823,-3.1971915
2880,@1442267741365235721,0,train,0,3.0780785,-3.2935627
2525,@1422578892162883604,0,train,0,3.0602388,-3.2488065
1096,@1445770083968507907,0,train,0,3.035453,-3.2116463
1074,@1427674709915693059,0,train,0,3.0758471,-3.264685
418,@1445136325615636487,0,train,0,2.9443076,-3.1385639
72,@1436685603731607561,0,train,0,3.0689821,-3.2341473
2041,@1421657479621005322,0,train,0,3.0796857,-3.266567
3158,@1437409107150049282,0,train,0,3.0713017,-3.244536
2054,@1486361930507956225,1,train,1,-2.7951868,3.012209
688,@1491453129816428546,0,train,0,3.0893939,-3.2678325
458,@1466019900749721602,1,train,1,-2.8356469,3.0640256
2979,@1424321564628209664,0,train,0,3.0652025,-3.2617004
1613,@1426175884030103559,0,train,0,3.0599601,-3.254607
2285,@1466201350602174464,0,train,0,3.0591052,-3.2513702
1699,@1442566435146924035,1,train,1,-2.8235009,3.0783489
3477,@1433231342657998850,0,train,0,3.0565028,-3.2366521
3355,@1442922747391213568,0,train,0,3.0368445,-3.2019918
202,@1419429921978556422,0,train,0,2.7549121,-2.906905
1453,@1440293829240758276,0,train,0,3.0757158,-3.2528045
75,@1424890329786900482,0,train,0,3.069622,-3.2472923
2763,@1416734129878667266,0,train,0,2.8646376,-2.9263737
2695,@1446158969945223168,0,train,0,3.0898397,-3.2696364
1361,@1489287734787252226,0,train,0,2.9401524,-3.0731251
1935,@1456408692627234820,0,train,0,3.028848,-3.173337
1161,@1411053563237838855,0,train,0,2.9838166,-3.1160297
1232,@1423721103999094785,1,train,1,-2.8367026,3.063625
1853,@1429478029479141376,0,train,0,3.0326405,-3.2208111
260,@1415415174140420097,0,train,0,3.0269568,-3.2264683
1836,@1476975321047986182,0,train,0,3.0724847,-3.2468803
2415,@1425980983862571009,0,train,0,2.9415562,-3.0636933
3474,@1436598367958700035,0,train,0,3.062957,-3.201619
1635,@1418560277776375812,0,train,0,3.0715234,-3.2714636
1605,@1412351181674926080,0,train,0,3.0484426,-3.2278516
3035,@1449113875849400320,0,train,0,3.0695117,-3.2397697
194,@1436133945368883201,0,train,0,2.8338432,-2.8918076
2958,@1457124683661336577,0,train,0,3.076604,-3.2325385
465,@1414732561536872469,0,train,0,3.0668914,-3.2413046
745,@1451238295636172802,0,train,0,3.060549,-3.2532492
1383,@1413323149932957701,0,train,0,3.0529597,-3.2330348
2603,@1457004057948680195,1,train,1,-2.8003397,3.0308106
1145,@1434234058544926720,1,train,1,-2.8459322,3.0681071
1596,@1485976424011939853,0,train,0,3.0283368,-3.1913013
279,@1494208142821007372,0,train,0,3.0377777,-3.2410882
1724,@1420915917739855874,1,train,1,-2.8292234,3.0688238
1112,@1430417324482301953,0,train,0,3.0596406,-3.2251024
692,@1414734645543849985,0,train,0,3.064944,-3.2569811
2209,@1458132798540337154,0,train,0,2.9128625,-3.0664852
3260,@1433069913661394947,1,train,1,-2.6478698,2.8225787
3147,@1487636911086784515,0,train,0,3.0847847,-3.2814615
1959,@1470842755517759495,0,train,0,3.0461633,-3.1742163
3215,@1448241506670845952,1,train,1,-2.4620135,2.6988437
1781,@1479454172072271877,0,train,0,3.071039,-3.2666056
3410,@1460324585019224065,1,train,1,-2.7492032,3.0098236
403,@1452915258134188039,0,train,0,3.0587833,-3.2422197
2516,@1446460660662128640,0,train,0,3.0758178,-3.2572725
887,@1443956831941021696,0,train,0,3.01874,-3.1855068
1119,@1415219617497157635,0,train,0,3.0744526,-3.2600312
1014,@1442738795523104770,0,train,0,3.0892947,-3.2749858
325,@1423097311929016330,0,train,0,3.0872724,-3.2655914
1382,@1417085721693786116,1,train,1,-2.754487,3.0046346
3111,@1453605062190710786,1,train,1,-2.8168952,3.0633922
898,@1496091508440801283,0,train,0,3.044844,-3.228861
1722,@1412755348155473922,1,train,1,-2.8263085,3.040808
311,@1471124980070944770,1,train,1,-2.7786677,3.0346267
1172,@1433527620256284676,1,train,1,-2.6980145,2.971691
1319,@1458508550414774287,0,train,0,3.0074277,-3.146458
3380,@1441676637125451777,0,train,0,3.0770085,-3.2541
1401,@1483283425125617669,0,train,0,3.039067,-3.1891894
3252,@1429244144401231873,0,train,0,3.0799248,-3.2638636
910,@1446031443478695937,0,train,0,3.0890398,-3.2833683
1290,@1438449343489527815,1,train,1,-2.8307683,3.084266
3306,@1479332481761349632,0,train,0,3.05359,-3.2254643
1646,@1413299338827243533,0,train,0,3.0310423,-3.2025683
2397,@1421181112198385665,0,train,0,3.0361595,-3.211384
1115,@1435751348100808708,0,train,0,3.0784607,-3.2426214
1108,@1423107778432978951,0,train,0,3.0661185,-3.2279727
1077,@1432226586388942851,0,train,0,3.079971,-3.2571208
2440,@1431742603578462219,0,train,0,3.086883,-3.2672484
1644,@1483411673541193728,1,train,1,-2.8350804,3.0435321
915,@1472776148404875269,1,train,1,-2.7199256,2.9527524
480,@1449095442487287814,0,train,0,3.048356,-3.25511
623,@1414644051807117314,0,train,0,3.0827088,-3.2649891
2198,@1466253827875741697,0,train,0,3.0573065,-3.2519014
3031,@1478010900997095429,0,train,0,3.0268037,-3.2107499
1059,@1473566552318361603,0,train,0,3.0947435,-3.2942789
809,@1442392656374546432,0,train,0,3.0692246,-3.2373688
428,@1483548751318982659,0,train,0,2.864781,-3.0408628
1539,@1410480753834708992,0,train,0,3.0807302,-3.2516694
3026,@1457051424253218820,0,train,0,3.0575228,-3.2393136
129,@1450839648452943872,0,train,0,3.0835326,-3.2614162
451,@1448699929875079169,0,train,0,3.0596738,-3.2491043
568,@1471258364722257922,0,train,0,3.0442438,-3.2291832
1820,@1423121627554799623,0,train,0,3.0299685,-3.2329485
2974,@1486997289293987842,0,train,0,3.0387497,-3.2105057
3134,@1466962690488815618,0,train,0,3.0794044,-3.24636
2808,@1441156747658362886,0,train,0,3.0813131,-3.2724953
2009,@1494173816595304450,0,train,0,3.0853245,-3.2684119
1193,@1417964480013783045,0,train,0,3.087095,-3.2807825
2997,@1497002705197355011,0,train,0,3.0815117,-3.2513423
597,@1492096669349040131,0,train,0,3.0970862,-3.2948062
180,@1466556237475024897,0,train,0,3.0366626,-3.2475536
2528,@1418914359909052417,0,train,0,2.972614,-3.1644247
1999,@1438305114276630528,1,train,1,-2.5243242,2.8095539
1621,@1463833345373130754,0,train,0,3.0930092,-3.2877934
1918,@1423223968249561092,0,train,0,3.07641,-3.2519977
2466,@1458419654465146884,0,train,0,3.0450857,-3.2261422
1771,@1487519813786292232,1,train,1,-2.8216963,3.0590417
3149,@1454801951778951172,1,train,1,-2.798107,3.0490768
3390,@1425496030024503299,1,train,1,-2.8372858,3.079963
454,@1457277913858969601,0,train,0,3.0693188,-3.2655804
1913,@1418900468793856006,0,train,0,3.0673304,-3.2792153
1581,@1458667486866518023,0,train,0,3.066261,-3.2548654
787,@1426299924870836227,0,train,0,3.0190504,-3.2105827
1160,@1471407819815632902,0,train,0,3.0609396,-3.2621584
3366,@1447875894966685698,1,train,1,-2.7628362,2.9841797
885,@1429778919377444865,0,train,0,3.0697079,-3.2072852
320,@1423672521212284934,0,train,0,3.0715108,-3.2155716
2937,@1427685857989963782,0,train,0,2.9970722,-3.1650796
3056,@1417599807154229258,0,train,0,3.0530126,-3.2441452
3011,@1414560820676210688,0,train,0,3.0673482,-3.2631314
2340,@1462773419431317513,0,train,0,3.0609262,-3.225706
1532,@1428111831923527682,0,train,0,2.9518878,-3.0446823
290,@1419179618079174657,1,train,1,-2.79414,3.0343926
2919,@1440177791358537730,0,train,0,2.9793937,-3.1403697
630,@1465662717495328773,1,train,1,-2.8259928,3.0769882
3358,@1443345846024638465,1,train,1,-2.8280766,3.082119
11,@1437677266599882752,1,train,1,-2.8109171,3.0543616
2174,@1480307586175946753,1,train,1,-2.8273647,3.0798547
1374,@1430117299059625985,0,train,0,2.939893,-3.146156
1348,@1415567585924435974,0,train,0,3.0595863,-3.2576559
1954,@1415787331601190926,0,train,0,2.8929126,-3.0431807
2491,@1480611740794634242,1,train,1,-2.7085097,2.9680173
1265,@1472487769335222274,1,train,1,-2.8431416,3.0841658
709,@1443936411011387395,0,train,0,3.0433974,-3.2453263
767,@1490443680322404353,0,train,0,3.063059,-3.2380245
1557,@1435806315998154757,0,train,0,3.0475934,-3.1833339
2764,@1429568568107180038,0,train,0,2.963871,-3.1743608
1685,@1428618428500398083,0,train,0,3.0465891,-3.1892352
3377,@1447752082715521024,1,train,1,-2.8144352,3.0630753
183,@1442992076082204673,0,train,0,3.052381,-3.2147973
2450,@1470027915450621952,1,train,1,-2.8036506,3.051185
1991,@1457137922763862018,1,train,1,-2.8182025,3.048005
1902,@1436711476618739713,0,train,0,3.0848112,-3.2746112
2888,@1442876977174626315,0,train,0,3.0649507,-3.2270672
1336,@1445337269297102852,0,train,0,3.0423048,-3.2344835
2929,@1437892128307306503,1,train,1,-2.8176644,3.066601
643,@1429889682503049220,1,train,1,-2.7077887,2.990516
738,@1468988184189181962,0,train,0,3.0488002,-3.2343738
3371,@1493689744949014528,0,train,0,3.0544133,-3.2103646
3301,@1434918763326066688,1,train,1,-2.8168976,3.074528
1674,@1430865652689088520,1,train,1,-2.8462658,3.0797327
668,@1483745385168310278,0,train,0,3.0499008,-3.2436807
2085,@1419607950184775685,0,train,0,3.023512,-3.125428
1446,@1469346394829959182,1,train,1,-2.7838583,3.0384836
608,@1442173151509499908,0,train,0,2.7367556,-2.8778517
1986,@1445645772561649668,1,train,1,-2.84171,3.0664573
3019,@1454735043902021632,0,train,0,3.0687876,-3.3030274
2321,@1441103863784689668,0,train,0,3.0672581,-3.2256143
1431,@1415489535631372289,0,train,0,3.0726056,-3.2452176
1302,@1444048736964038656,0,train,0,2.9622953,-3.1092215
1821,@1466767937243475972,0,train,0,3.0740457,-3.2514193
1018,@1449062911578619913,1,train,1,-2.7971165,3.0509133
1804,@1461058191140311054,1,train,1,-2.7624297,2.9901383
694,@1456628856836739075,0,train,0,3.050167,-3.2221208
724,@1463735644866301952,1,train,1,-2.790061,3.0442684
1898,@1429633854550155264,0,train,0,3.068674,-3.2522755
2868,@1423975137016156164,0,train,0,3.0582998,-3.2430065
1300,@1427322049228333057,0,train,0,3.0662558,-3.2689283
1535,@1420344772422688770,0,train,0,3.0642626,-3.2542741
201,@1467789919326199808,1,train,1,-2.7917778,3.0427182
2613,@1461658263003357195,0,train,0,3.0689104,-3.2260983
3224,@1452746583418806283,1,train,1,-2.8101025,3.0699522
2305,@1443646985572134919,0,train,0,3.0882986,-3.2640533
675,@1419756318248734727,0,train,0,3.0765858,-3.2367153
1520,@1415914329610887170,1,train,1,-2.8199203,3.0662181
2447,@1424032334492413954,0,train,0,3.047631,-3.2163084
3128,@1464665694746791936,0,train,0,3.0513926,-3.2267518
875,@1424160380519993345,0,train,0,3.0125453,-3.1172612
2873,@1470810024960270349,0,train,0,3.079163,-3.2895005
3183,@1428436704130699265,0,train,0,2.9347942,-3.0584953
1480,@1437765837054570498,0,train,0,3.0652235,-3.2445288
990,@1487462851891675136,1,train,1,-2.8221536,3.0618975
2896,@1418517792500813825,0,train,0,3.0108638,-3.1788366
2058,@1458226999508578311,0,train,0,2.0753262,-2.1483052
133,@1473075511396028429,0,train,0,3.0780447,-3.2573552
1135,@1444240815094747137,0,train,0,3.074001,-3.2618656
1427,@1479088110097117188,0,train,0,3.0903785,-3.2866561
1365,@1453033083641516032,1,train,1,-2.7993765,3.039063
1850,@1457733759697096705,0,train,0,3.0327878,-3.1854608
348,@1455198306942930951,1,train,1,-2.8321962,3.0610483
400,@1453003429635366927,1,train,1,-2.8317356,3.0869882
2494,@1457172845050556418,1,train,1,-2.7994428,3.05186
570,@1479537512376770568,0,train,0,3.0692012,-3.245673
50,@1491413746971209729,0,train,0,3.0552351,-3.2292724
2367,@1467189005343080448,0,train,0,3.0668404,-3.232368
301,@1488918708353392640,0,train,0,3.064835,-3.2916818
3458,@1467963670948982798,1,train,1,-2.8384905,3.0882192
1252,@1477002585844621312,0,train,0,3.06138,-3.2306597
1215,@1432715437637349378,0,train,0,3.009731,-3.1516447
1368,@1491260258580414470,0,train,0,3.0265203,-3.196429
3476,@1426565790539685889,0,train,0,3.0830665,-3.2703214
669,@1450514634243551241,0,train,0,3.0501235,-3.2223704
2499,@1423109024619368451,0,train,0,3.0727766,-3.273335
748,@1418545035449077765,0,train,0,3.0477061,-3.2320967
1144,@1430395849113169926,0,train,0,3.089491,-3.303014
1801,@1466290615675539456,1,train,1,-2.7294114,2.978496
3170,@1455592209600950279,1,train,1,-2.8255377,3.0656917
2317,@1436759863737077761,1,train,1,-2.8296714,3.0786667
2938,@1481409995858231297,0,train,0,3.087058,-3.2886932
943,@1415678799937622022,1,train,1,-2.774885,3.0490718
2278,@1471835142410878978,0,train,0,3.0151393,-3.2129176
459,@1423134911272300545,0,train,0,2.9886806,-3.116338
1979,@1417570771266785280,0,train,0,3.0737302,-3.2575758
2239,@1430015293355487233,0,train,0,3.0395043,-3.2013333
2384,@1460285971908415493,0,train,0,3.0403244,-3.248487
2899,@1420008102389338114,0,train,0,2.7559457,-2.8618014
